t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
5277	bot-196	bravo	A00m-4420	state	-4.22	4.12	320	2.49	0.58	20.71	3	seek
5277	bot-200	alpha	C00r-4410	state	-14.84	20.34	138	2.42	0.51	22.78	4	seek
5294	bot-200	alpha	C00r-4412	latches	-14.69	20.37	138	4.49	0.15	0.77	1	cover
5328	bot-193	bravo	P00r-4420	tick	5.73	3.22	338	2.46	0.92	0.85	1	squad
5361	bot-191	bravo	S32r-3420	state+latches	7.85	-14.90	213	4.45	1.49	3.88	2	cover
5361	bot-201	bravo	A00r-4410	state	-8.83	5.55	339	2.45	1.03	17.51	3	seek
5394	bot-200	alpha	G00r-4412	state	-14.33	20.46	148	4.52	0.38	0.39	1	cover
5394	bot-201	bravo	A00r-441G	latches	-8.83	5.55	340	0.00	0.00		0	
5428	bot-146	alpha	P00r-4310	tick	-10.36	-18.63	182	0.00	0.00		0	
5428	bot-198	bravo	C32r-3420	state	4.90	-15.13	62	2.45	1.45	9.84	2	seek
5447	bot-171	bravo	A00r-232G	latches	0.11	3.82	320	0.00	0.00		0	
5447	bot-181	bravo	A00r-242G	latches	1.55	1.20	321	0.00	0.00		0	
5447	bot-196	bravo	A00m-442G	latches	-4.22	4.13	329	0.00	0.00		0	
5447	bot-198	bravo	C32r-3422	latches	4.82	-15.18	62	4.48	0.09	1.79	1	cover
5462	bot-186	bravo	A00r-242G	latches	-1.46	0.77	328	0.00	0.00		0	
5462	bot-200	alpha	G00r-441I	latches	-13.95	20.55	130	0.03	0.39		0	
5627	bot-201	bravo	S00r-4410	state+latches	-8.83	5.55	340	0.00	0.00		0	
5644	bot-200	alpha	A00r-441G	state+latches	-13.95	20.55	106	0.04	0.00		0	
5694	bot-171	bravo	S00r-2320	state+latches	0.11	3.83	320	0.00	0.00		0	
5694	bot-181	bravo	S00r-2420	state+latches	1.55	1.20	321	0.00	0.00		0	
5694	bot-196	bravo	S00m-4420	state+latches	-4.22	4.13	329	0.00	0.00		0	
5717	bot-186	bravo	S00r-2420	state+latches	-1.46	0.77	328	0.00	0.00		0	
5717	bot-200	alpha	S00r-4410	state+latches	-13.95	20.55	106	0.04	0.00		0	
5761	bot-198	bravo	G32r-3422	state	4.61	-16.52	139	4.55	1.36	0.43	1	cover
5811	bot-198	bravo	S32r-3420	state+latches	4.56	-16.91	129	0.00	0.39		0	
5977	bot-149	alpha	P00r-4310	tick	-11.36	-19.62	188	0.00	0.00		0	
5994	bot-137	alpha	P00r-4310	tick	-12.04	-16.98	146	0.00	0.00		0	
6027	bot-181	bravo	A00r-2420	state	1.22	1.65	325	2.44	0.56	20.12	4	seek
6027	bot-186	bravo	A00r-2420	state	-1.74	1.22	328	2.48	0.53	19.95	3	seek
6027	bot-200	alpha	A00r-4410	state	-14.43	20.38	147	2.42	0.51	23.71	4	seek
6044	bot-116	alpha	P00m-2200	tick	-15.96	-17.86	30	2.40	1.25	1.22	1	squad
6044	bot-181	bravo	A00r-242G	latches	1.22	1.66	321	0.01	0.00		0	
6044	bot-186	bravo	A00r-242G	latches	-1.75	1.22	326	0.01	0.00		0	
6044	bot-191	bravo	C32r-3420	state	9.45	-15.33	105	2.41	1.66	4.25	1	seek
6044	bot-200	alpha	A00r-441G	latches	-14.43	20.38	146	0.00	0.00		0	
6061	bot-191	bravo	C32r-3422	latches	9.31	-15.30	114	4.43	0.15	5.03	3	cover
6144	bot-191	bravo	S32r-3420	state+latches	9.02	-15.24	131	4.38	0.29	4.79	3	cover
6161	bot-115	alpha	P00r-4320	tick	-9.99	-21.38	359	0.65	0.40		0	
6194	bot-140	alpha	P00r-4310	tick	-13.40	-19.94	48	0.00	0.40		0	
6244	bot-198	bravo	C32r-3420	state	4.56	-16.12	59	2.37	0.79	11.06	3	seek
6261	bot-198	bravo	S32r-3420	state	4.56	-16.20	63	4.58	0.08	0.75	1	cover
6277	bot-181	bravo	S00r-2420	state+latches	1.22	1.66	321	0.00	0.00		0	
6277	bot-186	bravo	S00r-2420	state+latches	-1.75	1.22	326	0.01	0.00		0	
6277	bot-200	alpha	S00r-4410	state+latches	-14.43	20.38	146	0.00	0.00		0	
6296	bot-193	bravo	S00r-4420	state	5.52	3.49	314	0.00	0.34		0	
6428	bot-146	alpha	P00r-4310	tick	-10.36	-18.63	182	0.00	0.00		0	
6577	bot-186	bravo	A00r-2420	state	-2.09	1.57	315	2.50	0.49	21.21	3	seek
6594	bot-171	bravo	A00r-2320	state	-1.14	5.37	320	2.48	1.99	20.47	4	seek
6594	bot-181	bravo	A00r-2420	state	0.86	2.03	316	2.42	0.52	20.83	3	seek
6594	bot-200	alpha	A00r-4410	state	-14.62	20.56	164	3.83	0.26	5.18	1	grenade
6611	bot-181	bravo	F00r-2420	state	0.86	2.03	319	0.10	0.00		0	
6611	bot-196	bravo	A00m-4420	state	-5.54	5.68	322	2.47	2.04	18.35	3	seek
6627	bot-181	bravo	P00r-2420	state	0.86	2.03	320	1.37	0.00		1	muzzleRecovery
6627	bot-186	bravo	F00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6627	bot-200	alpha	A00r-4310	health	-14.76	20.68	177	3.77	0.19	4.99	1	grenade
6644	bot-186	bravo	A00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6644	bot-201	bravo	S00r-4410	tick	-9.36	7.12	12	3.10	1.65	5.29	1	grenade
6727	bot-201	bravo	A00r-4410	state	-9.21	6.98	29	3.14	0.21	5.08	1	grenade
6744	bot-186	bravo	F00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6744	bot-200	alpha	E00r-4210	state+health	-15.03	20.93	202	3.64	0.37		0	
6761	bot-186	bravo	A00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6827	bot-193	bravo	A00r-4420	state	4.46	2.82	313	2.38	1.25	28.05	6	seek
6827	bot-201	bravo	A00r-441G	latches	-8.93	6.73	59	3.19	0.37	4.72	1	grenade
6861	bot-186	bravo	F00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6861	bot-191	bravo	C32r-3420	state	10.71	-15.50	99	2.36	1.71	2.88	1	seek
6861	bot-200	alpha	E00r-411G	health+latches	-15.41	21.23	237	3.69	0.49	4.52	1	grenade
6877	bot-181	bravo	A00r-2420	state	1.22	2.05	12	0.00	0.35		0	muzzleRecovery
6877	bot-186	bravo	A00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6877	bot-191	bravo	S32r-3420	state	10.63	-15.49	103	4.58	0.08	6.26	3	cover
6911	bot-193	bravo	A00r-442G	latches	4.46	2.82	313	0.00	0.00		0	
6977	bot-149	alpha	P00r-4310	tick	-11.36	-19.62	188	0.00	0.00		0	
6977	bot-186	bravo	F00r-2420	state	-2.10	1.58	326	0.00	0.00		0	
6977	bot-186	bravo	F00r-1420	ammo	-2.10	1.58	326	0.00	0.00		0	
6977	bot-200	alpha	E00r-401G	health	-15.75	21.50	267	3.70	0.43	4.09	1	grenade
6994	bot-137	alpha	P00r-4310	tick	-11.51	-17.64	158	2.41	0.84	1.68	1	squad
6994	bot-186	bravo	A00r-1420	state	-2.10	1.58	326	0.00	0.00		0	
7061	bot-116	alpha	P00m-2200	tick	-15.72	-17.64	65	0.00	0.32		0	
7061	bot-198	bravo	C32r-3420	state	5.44	-14.80	62	2.41	1.65	9.88	2	seek
7061	bot-201	bravo	S00r-4410	state+latches	-8.42	6.21	115	3.55	0.73	5.04	1	grenade
7077	bot-198	bravo	S32r-3420	state	5.36	-14.82	57	4.57	0.08	2.28	2	cover
7094	bot-186	bravo	F00r-1420	state	-2.10	1.58	325	0.00	0.00		0	
7094	bot-186	bravo	P00r-1420	state	-2.10	1.58	325	0.00	0.00		0	
7094	bot-200	alpha	D00r--000	state+ammo+packs+latches	-16.04	21.74	293	0.00	0.37	3.71	1	grenade
7094	bot-193	bravo	S00r-4420	state+latches	4.46	2.82	313	0.00	0.00		0	
7094	bot-196	bravo	S00m-4420	state	-5.54	5.68	327	0.00	0.00		0	
7111	bot-178	alpha	D00m--000	tick	-3.54	2.45	39	0.00	0.00	6.23	0	
7111	bot-171	bravo	S00r-2320	state	-1.14	5.37	318	0.00	0.01		0	
7111	bot-181	bravo	S00r-2420	state	1.22	2.05	324	0.00	0.00		0	
7111	bot-186	bravo	S00r-1420	state	-2.10	1.58	325	0.00	0.00		0	
7111	bot-186	bravo	S00r-R420	ammo	-2.11	1.60	323	1.37	0.02	22.37	3	seek
7111	bot-196	bravo	P00m-4420	state	-5.55	5.70	323	1.36	0.02	20.38	2	seek
7132	bot-171	bravo	P00r-2320	state	-1.16	5.39	321	1.36	0.02	22.91	4	seek
7144	bot-186	bravo	P00r-R420	state	-2.13	1.62	323	1.37	0.03	22.34	3	seek
7161	bot-181	bravo	P00r-2420	state	1.18	2.11	321	1.36	0.07	23.85	6	seek
7177	bot-115	alpha	P00r-4320	tick	-9.99	-20.54	25	0.78	0.84		0	
7211	bot-140	alpha	P00r-4310	tick	-12.46	-18.50	44	2.40	1.73	3.28	1	squad
7444	bot-146	alpha	P00r-4310	tick	-10.36	-18.63	182	0.00	0.00		0	
7677	bot-191	bravo	C32r-3420	state	11.80	-16.07	117	1.33	1.30	1.96	1	seek
7694	bot-191	bravo	S32r-3420	state	11.77	-16.06	120	1.44	0.02	7.28	3	cover
7877	bot-198	bravo	C32r-3420	state	7.14	-14.08	66	2.47	1.93	7.58	2	seek
7894	bot-198	bravo	S32r-3420	state	7.07	-14.10	61	3.98	0.07	3.81	2	cover
7994	bot-137	alpha	P00r-4310	tick	-11.26	-17.90	151	0.00	0.37		0	
7994	bot-149	alpha	P00r-4310	tick	-11.36	-19.62	188	0.00	0.00		0	
8077	bot-116	alpha	P00m-2200	tick	-15.72	-17.64	65	0.00	0.00		0	
8077	bot-201	bravo	S00r-4410	tick	-7.57	5.89	132	3.76	0.91	5.63	1	grenade
8111	bot-193	bravo	S00r-4420	tick	2.29	2.63	264	1.86	2.18	27.69	5	seek
8111	bot-196	bravo	P00m-4420	tick	-5.55	3.82	184	1.91	1.87	5.73	2	squad
8144	bot-171	bravo	P00r-2320	tick	-1.34	3.74	215	0.14	1.66		0	
8160	bot-186	bravo	P00r-R420	tick	-0.12	2.43	60	2.44	2.17	3.13	1	squad
8177	bot-115	alpha	P00r-4320	tick	-10.04	-19.70	343	0.86	0.84		0	
8177	bot-181	bravo	P00r-2420	tick	-0.10	3.98	315	2.48	2.27	28.43	3	patrolReentry
8227	bot-140	alpha	P00r-4310	tick	-11.58	-16.24	11	2.42	2.42	1.75	1	squad
8461	bot-146	alpha	P00r-4310	tick	-10.36	-18.63	182	0.00	0.00		0	
8494	bot-191	bravo	C32r-3420	state	12.65	-16.67	125	1.33	1.07	0.49	1	seek
8511	bot-191	bravo	S32r-3420	state	12.63	-16.66	129	1.39	0.02	8.08	3	cover
8644	bot-191	bravo	S00r-3420	tier+score	12.73	-16.49	98	1.33	0.20	0.63	1	seek
8644	bot-198	bravo	S00r-3420	tier+score	8.65	-13.09	57	2.50	1.87	5.82	1	seek
8910	bot-186	bravo	C00r-R420	state	0.34	4.10	19	2.48	1.73	2.39	1	squad
8927	bot-186	bravo	C00r-R422	latches	0.33	4.25	10	4.72	0.16	2.25	1	squad
8994	bot-137	alpha	P00r-4310	tick	-11.20	-17.82	134	0.00	0.10		0	
