t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
525122	bot-930	alpha	P00m-2330	tick	-136.47	38.09	281	1.73	1.64	11.92	2	patrolReentry	squad-102	0	bot-930			-	0	10	101	0	7	35
525122	bot-931	alpha	P00r-2410	tick	-133.90	35.00	269	2.47	2.48	3.33	1	squad	squad-102	1	bot-930			-	0	14	120	0	20	101
525261	bot-918	alpha	P00r-4410	tick	87.38	-10.49	72	2.40	2.48		10	patrol	squad-65	0	bot-918			-	0	30	120	0	7	35
525261	bot-922	alpha	P00r-4420	tick	102.76	39.08	82	2.04	1.96	10.95	2	squad	squad-92	1	bot-814			-	0	28	120	0	7	35
525261	bot-935	alpha	S00r-4310	tick	-97.95	14.74	91	2.40	2.44	26.70	5	seek	squad-102	3	bot-930			-	0	1	27	0	20	101
525261	bot-956	alpha	P00m-4420	tick	28.78	18.98	76	0.12	0.04	90.47	12	squad	squad-92	5	bot-814			-	0	20	101	0	7	35
525261	bot-971	bravo	P00m-4430	tick	-23.26	-11.04	135	1.95	2.06	9.28	2	squad	squad-87	7	bot-781			-	0	20	101	0	7	35
525461	bot-781	bravo	P00r-4420	tick	-4.12	-17.49	105	2.31	2.33	152.05	20	patrolReentry	squad-87	0	bot-781			-	0	27	120	0	20	101
525517	bot-932	alpha	P00r-4320	tick	-129.25	29.68	19	2.08	1.72	12.33	2	squad	squad-102	2	bot-930			-	0	30	97	0	7	35
525538	bot-977	bravo	S38r-4410	tick	125.29	-41.39	222	3.89	4.15	4.54	1	grenade	squad-98	0	bot-977	bot-980	39.37	f	0	29	120	0	20	101
525671	bot-859	alpha	P00r-4320	tick	102.49	41.37	138	1.72	1.72	5.44	2	squad	squad-92	4	bot-814			-	0	1	25	0	19	101
525671	bot-958	alpha	P00r-4320	tick	110.50	41.53	110	2.45	2.30	1.75	1	squad	squad-92	2	bot-814			-	0	1	3	0	30	120
525736	bot-962	alpha	P00r-4410	tick	78.57	-13.03	55	2.46	2.48	8.26	2	squad	squad-65	1	bot-918			-	0	30	120	0	7	35
525736	bot-964	alpha	P00m-4420	tick	69.38	-21.23	64	2.40	2.35	21.47	3	squad	squad-65	4	bot-918			-	0	20	101	0	7	35
525736	bot-966	alpha	P00r-4410	tick	73.77	-20.49	46	1.82	2.35	15.53	2	squad	squad-65	2	bot-918			-	0	30	120	0	7	35
525772	bot-800	alpha	P00m-33A0	tick	108.22	41.13	87	2.45	2.21	1.97	1	squad	squad-92	3	bot-814			-	0	11	84	0	7	35
525772	bot-814	alpha	P00r-4320	tick	117.39	42.95	55	2.51	2.50	28.00	4	patrolReentry	squad-92	0	bot-814			-	0	26	25	0	7	35
525797	bot-972	alpha	S00m-2420	tick	139.96	1.06	92	2.44	0.88	5.65	1	grenade	squad-1	5	bot-744			-	0	8	101	0	7	35
525820	bot-977	bravo	S37r-4410	score	124.62	-42.11	227	3.29	0.98	5.32	1	grenade	squad-98	0	bot-977	bot-980	41.48	f	0	29	120	0	20	101
525820	bot-978	alpha	S00r-4410	tick	145.17	-0.42	43	4.55	1.39	39.98	5	seek	squad-1	4	bot-744	bot-977	46.58	f	0	25	120	0	7	35
525844	bot-935	alpha	P00r-4310	state	-96.61	14.75	91	2.36	1.34	25.37	5	seek	squad-102	3	bot-930			-	0	1	27	0	20	101
525924	bot-744	alpha	S00r-4420	tick	146.39	-1.19	34	4.10	4.07	3.55	1	grenade	squad-1	0	bot-744			-	0	30	120	0	7	35
525924	bot-967	bravo	P00r-2420	tick	-16.14	-16.85	92	2.56	2.38	9.59	5	squad	squad-87	2	bot-781			-	0	11	120	0	20	101
525924	bot-969	alpha	S00r-4410	tick	137.10	1.14	358	4.08	0.17	3.62	1	grenade	squad-1	2	bot-744	bot-977	44.91	w	0	24	120	0	20	101
525924	bot-973	bravo	P00r-4420	tick	-13.88	-13.99	86	2.53	2.14	8.45	2	squad	squad-87	3	bot-781			-	0	1	4	0	30	120
525924	bot-975	bravo	P00r-4420	tick	-15.10	-17.45	91	2.40	2.52	5.53	5	squad	squad-87	4	bot-781			-	0	30	120	0	20	101
525924	bot-980	alpha	S00m-4320	tick	146.08	-6.07	19	4.02	4.38	3.52	1	grenade	squad-1	7	bot-744	bot-977	41.97	f	0	20	101	0	7	35
525956	bot-970	bravo	P00r-4410	tick	-19.47	-18.62	38	2.41	2.41	6.48	4	squad	squad-87	6	bot-781			-	0	1	30	0	7	35
525956	bot-974	alpha	A00r-4410	state	123.47	4.00	221	2.40	1.83	46.54	7	seek	squad-1	6	bot-744			-	0	1	30	0	7	35
525956	bot-977	bravo	S36r-4410	score	124.39	-42.34	227	3.15	0.33	4.99	1	grenade	squad-98	0	bot-977	bot-980	42.17	f	0	29	120	0	20	101
525986	bot-963	bravo	P00m-23C0	tick	-19.85	-12.77	67	2.58	2.08	14.00	2	squad	squad-87	5	bot-781			-	0	8	101	0	7	35
525986	bot-965	bravo	P00r-4410	tick	-9.07	-14.03	79	2.03	2.27	4.43	2	squad	squad-87	1	bot-781			-	0	30	120	0	20	101
526071	bot-977	bravo	S00r-4410	tier+score	124.14	-42.58	227	2.85	0.34	4.65	1	grenade	squad-98	0	bot-977	bot-980	43.01	f	0	29	120	0	20	101
526109	bot-808	bravo	P00r-2420	tick	-136.93	40.08	293	2.37	1.87		2	patrol	squad-83	0	bot-808			-	0	14	120	0	7	35
526109	bot-954	alpha	P00r-4410	tick	77.12	-11.58	26	2.46	2.49	7.47	1	squad	squad-65	3	bot-918			-	0	1	30	0	7	35
526109	bot-968	alpha	S00r-4410	tick	143.30	0.54	47	3.44	0.83	5.42	1	grenade	squad-1	1	bot-744			-	0	25	120	0	7	35
526109	bot-976	alpha	C00r-4412	tick	138.47	1.51	296	5.15	0.84	3.81	1	grenade	squad-1	3	bot-744			-	0	1	3	0	30	120
526139	bot-930	alpha	P00m-2330	tick	-138.27	39.38	306	2.43	2.21	9.73	2	patrolReentry	squad-102	0	bot-930			-	0	10	101	0	7	35
526139	bot-931	alpha	P00r-2410	tick	-136.15	35.66	294	2.09	2.35	1.20	1	squad	squad-102	1	bot-930			-	0	14	120	0	20	101
526274	bot-918	alpha	P00r-4410	tick	89.47	-9.66	81	2.43	2.25		9	patrol	squad-65	0	bot-918			-	0	30	120	0	7	35
526274	bot-922	alpha	P00r-4420	tick	104.71	39.67	87	2.24	2.04	11.01	2	squad	squad-92	1	bot-814			-	0	28	120	0	7	35
526274	bot-956	alpha	P00m-4420	tick	28.76	19.00	44	0.16	0.03	92.57	12	squad	squad-92	5	bot-814			-	0	20	101	0	7	35
526274	bot-971	bravo	P00m-4430	tick	-21.25	-10.63	72	2.25	2.05	15.05	3	squad	squad-87	7	bot-781			-	0	20	101	0	7	35
526419	bot-744	alpha	C32r-4420	state+tier+score	146.66	-1.18	33	4.71	0.27	36.73	5	seek	squad-1	0	bot-744			-	0	30	120	0	7	35
526419	bot-968	alpha	S32r-4410	tier+score	143.33	0.22	55	4.74	0.32	43.33	6	seek	squad-1	1	bot-744			-	0	25	120	0	7	35
526419	bot-969	alpha	S32r-4410	tier+score	137.21	0.87	350	4.69	0.29	34.55	6	seek	squad-1	2	bot-744	bot-977	46.42	w	0	24	120	0	20	101
526419	bot-972	alpha	S32m-2420	tier+score	140.64	0.89	53	4.84	0.69	43.55	7	seek	squad-1	5	bot-744			-	0	8	101	0	7	35
526419	bot-976	alpha	C32r-4412	tier+score	138.33	1.75	310	5.30	0.28	7.08	1	cover	squad-1	3	bot-744			-	0	1	3	0	30	120
526419	bot-978	alpha	S32r-4410	tier+score	145.30	-0.53	39	4.55	0.18	38.33	5	seek	squad-1	4	bot-744	bot-977	48.19	f	0	25	120	0	7	35
526419	bot-980	alpha	S32m-4320	tier+score	146.59	-4.31	21	4.22	1.83	35.47	4	seek	squad-1	7	bot-744	bot-977	45.50	f	0	20	101	0	7	35
526447	bot-744	alpha	C32r-4422	latches	146.45	-1.32	20	5.01	0.25	7.32	1	cover	squad-1	0	bot-744			-	0	30	120	0	7	35
526468	bot-781	bravo	P00r-4420	tick	-2.18	-18.50	137	2.33	2.18	149.96	20	patrolReentry	squad-87	0	bot-781			-	0	27	120	0	20	101
526533	bot-932	alpha	P00r-4320	tick	-129.48	31.96	355	2.41	2.30	9.69	2	squad	squad-102	2	bot-930			-	0	30	97	0	7	35
526681	bot-859	alpha	P00r-4320	tick	104.22	40.95	98	2.03	1.77	5.35	1	squad	squad-92	4	bot-814			-	0	1	25	0	19	101
526681	bot-958	alpha	P00r-4320	tick	112.80	41.46	58	2.36	2.30	1.51	1	squad	squad-92	2	bot-814			-	0	1	3	0	30	120
