t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve	role_id
1695441	bot-1912	bravo	P49mm4320	state	20.64	6.07	209	7.29	0.00	6.45	4	medic	squad-2	4	bot-1873	bot-1923	23.48	w	2	20	83	0	7	35	medic
1695441	bot-1920	bravo	E49rm4029	health	26.74	11.77	184	8.21	0.69	6.09	3	flee	squad-2	1	bot-1873	bot-1747	35.48	y	0	30	120	0	30	120	technical
1695487	bot-1747	alpha	A00r-3420	state	24.44	-23.92	4	0.31	0.00		0		squad-1	0	bot-1747	bot-1920	35.47	y	0	20	79	0	20	79	technical
1695487	bot-1823	alpha	A32r-332G	tier+score+latches	10.83	4.30	225	4.39	0.55	4.93	1	grenade	squad-372	1	bot-1765	bot-1931	25.06	w	0	17	120	0	17	120	technical
1695487	bot-1912	bravo	C49mm4320	state	20.35	6.19	220	7.29	0.31		0		squad-2	4	bot-1873		23.45	w	2	20	83	0	7	35	medic
1695531	bot-1855	alpha	A00r-4320	tier+score	6.89	1.37	163	5.95	1.33	4.23	1	grenade	squad-1	5	bot-1747	bot-1931	21.18	y	0	1	26	0	9	101	sniper
1695531	bot-1901	bravo	S49rb4324	state+latches	21.75	5.88	295	7.42	0.65	3.53	2	cover	squad-2	3	bot-1873			-	2	1	27	0	16	101	sniper
1695531	bot-1912	bravo	C49mb4322	element+latches	20.35	6.19	230	0.00	0.00		0		squad-2	4	bot-1873			-	2	20	83	0	7	35	medic
1695531	bot-1913	alpha	A00r-3410	tier+score	7.24	-0.11	143	5.03	1.43	4.71	1	grenade	squad-383	3	bot-1897	bot-1931	19.81	y	0	20	120	0	20	101	rifleman
1695531	bot-1924	bravo	E49mm4220	latches	23.72	11.12	351	0.00	1.07		0		squad-2	5	bot-1873	bot-1923	27.70	w	2	20	101	0	7	35	medic
1695576	bot-1747	alpha	F00r-3420	state	24.44	-23.92	4	0.32	0.00		0		squad-1	0	bot-1747	bot-1920	36.20	y	0	20	79	0	20	79	technical
1695576	bot-1747	alpha	P00r-3420	state	24.44	-23.92	4	0.00	0.00		0		squad-1	0	bot-1747		36.20	y	0	19	79	0	19	79	technical
1695576	bot-1920	bravo	D00r--000	state+tier+score+element+ammo+packs+latches	26.75	12.51	184	0.00	0.74	5.70	3	flee	squad-2	1	bot-1873	bot-1747	36.20	y	0	30	120	0	30	120	technical
1695576	bot-1823	alpha	A00r-332G	tier+score	11.12	4.00	202	4.81	0.42	4.51	1	grenade	squad-372	1	bot-1765	bot-1931	24.88	w	0	17	120	0	17	120	technical
1695576	bot-1878	alpha	S00r-3320	tick	-20.77	-3.17	66	2.17	0.42	42.28	7	seek	squad-372	2	bot-1765	bot-1924	47.04	w	0	17	120	0	7	35	rifleman
1695576	bot-1901	bravo	S49rm4324	element	21.75	5.88	272	0.00	0.00		0		squad-2	3	bot-1873			-	2	1	27	0	16	101	sniper
1695576	bot-1902	alpha	A00r-331G	latches	-10.04	6.58	252	4.91	2.01	2.22	1	grenade	squad-1	3	bot-1747	bot-1931	28.71	f	0	18	120	0	7	35	rifleman
1695576	bot-1925	alpha	S32r-4410	score	1.11	-7.79	270	6.55	1.31	18.04	8	seek	squad-1	4	bot-1747			-	0	30	120	0	20	101	rifleman
1695621	bot-1903	bravo	D00r--000	tick	-25.29	-20.76	16	0.00	0.00		0		squad-375	-1		bot-1857	41.44	y	0	30	120	0	30	120	technical
1695621	bot-1861	alpha	A00m-43E0	ammo	-12.31	8.85	234	5.09	1.59	4.13	1	grenade	squad-383	4	bot-1897	bot-1931	31.85	y	0	20	66	0	5	35	medic
1695621	bot-1876	alpha	E32r-4120	latches	5.73	-10.49	3	0.00	1.93		0		squad-1	2	bot-1747			-	0	1	1	0	25	120	technical
1695621	bot-1897	alpha	A00r-4420	ammo	-19.12	9.49	152	6.57	0.29	3.64	1	grenade	squad-383	0	bot-1897	bot-1931	36.12	y	0	24	120	0	24	120	technical
1695621	bot-1904	alpha	A00m-33BG	latches	-10.94	8.52	63	5.27	1.32	4.63	1	grenade	squad-383	6	bot-1897	bot-1931	30.91	f	0	11	101	0	7	35	medic
1695621	bot-1925	alpha	S33r-4410	score	1.06	-7.50	281	6.61	0.29	17.75	8	seek	squad-1	4	bot-1747			-	0	30	120	0	20	101	rifleman
1695621	bot-1927	alpha	H32m-43B0	health	-21.04	24.32	60	0.00	0.00		0		squad-395	1	bot-1923	bot-1929	41.27	w	0	18	101	0	7	35	medic
1695621	bot-1929	bravo	A49rm4320	state	19.12	14.93	264	5.18	1.88	20.54	4	seek	squad-2	1	bot-1873	bot-1913	19.53	w	0	29	120	0	20	101	rifleman
1695671	bot-1747	alpha	A00r-3420	state	24.44	-23.87	354	1.17	0.05		8	patrol	squad-1	0	bot-1747			-	0	19	79	0	19	79	technical
1695671	bot-1861	alpha	A00m-43EG	latches	-12.53	9.01	246	5.42	0.27	3.86	1	grenade	squad-383	4	bot-1897	bot-1931	32.28	f	0	20	66	0	5	35	medic
1695671	bot-1866	alpha	C00r-R422	latches	-4.27	11.47	323	5.79	1.35	4.11	1	grenade	squad-383	5	bot-1897	bot-1931	31.56	f	0	0	27	0	6	30	sniper
1695671	bot-1923	alpha	A00r-4310	ammo	-4.01	5.36	226	6.06	2.87	4.49	1	grenade	squad-395	0	bot-1923	bot-1931	25.99	y	0	30	120	0	30	120	technical
1695733	bot-1823	alpha	S00r-3320	state+latches	11.10	3.99	202	0.05	0.02		0		squad-372	1	bot-1765	bot-1931	24.78	w	0	17	120	0	17	120	technical
1695733	bot-1868	alpha	S00r-4320	tick	-22.57	-2.57	199	1.44	1.40	4.73	1	seek	squad-383	2	bot-1897			-	0	1	2	0	30	120	technical
1695733	bot-1881	alpha	P00m-43B0	tick	-23.49	-5.71	315	1.30	1.17	2.29	1	packseek	squad-372	3	bot-1765			-	0	20	71	0	7	35	medic
1695733	bot-1906	alpha	P00r-4420	tick	-23.46	-8.36	107	0.60	1.35	50.36	7	squad	squad-1	7	bot-1747			-	0	1	29	0	5	35	sniper
1695733	bot-1929	bravo	F49rm4320	state	19.12	14.93	282	0.00	0.00		0		squad-2	1	bot-1873	bot-1921	25.06	y	0	29	120	0	20	101	rifleman
1695819	bot-1765	alpha	P00r-2320	tick	-23.57	-6.66	302	1.04	1.02	31.18	5	patrolReentry	squad-372	0	bot-1765			-	0	15	78	0	20	101	rifleman
1695819	bot-1902	alpha	S00r-3310	state+latches	-10.44	6.72	289	2.36	0.42	5.55	1	grenade	squad-1	3	bot-1747	bot-1931	29.66	f	0	18	120	0	7	35	rifleman
1695819	bot-1913	alpha	A00r-341G	latches	7.68	-0.70	156	0.11	0.74		0		squad-383	3	bot-1897	bot-1931	19.37	w	0	20	120	0	20	101	rifleman
1695819	bot-1921	alpha	S10r-4410	tier	-5.57	20.60	341	4.43	2.70	4.13	1	grenade	squad-383	7	bot-1897			-	0	1	30	0	18	101	sniper
1695819	bot-1929	bravo	A49rm4320	state	19.12	14.93	283	0.00	0.00		0		squad-2	1	bot-1873	bot-1921	25.23	y	0	28	120	0	20	101	rifleman
1695819	bot-1931	bravo	A10r-4310	state+latches	3.79	-19.68	14	6.38	2.10	3.14	1	cover	squad-397	0	bot-1931	bot-1876	9.34	y	0	16	101	0	16	101	sniper
1695899	bot-1861	alpha	S32m-43E0	state+tier+score+latches	-13.01	9.32	272	5.77	0.57	4.46	1	grenade	squad-383	4	bot-1897	bot-1931	33.27	f	0	20	66	0	5	35	medic
1695899	bot-1873	bravo	H49rm3310	tick	24.22	11.46	255	0.00	1.61	0.29	1	grenade	squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1695899	bot-1895	alpha	H32r-4320	health	-23.52	23.84	88	0.00	0.05		0		squad-1	6	bot-1747	bot-1929	43.62	w	0	1	26	0	20	101	sniper
1695899	bot-1904	alpha	S00m-33B0	state+latches	-11.50	9.07	25	5.48	0.79	4.91	1	grenade	squad-383	6	bot-1897	bot-1931	32.31	f	0	11	101	0	7	35	medic
1695899	bot-1929	bravo	F49rm4320	state	19.12	14.93	283	0.89	0.00		0		squad-2	1	bot-1873	bot-1921	25.40	y	0	28	120	0	20	101	rifleman
1695899	bot-1931	bravo	F10r-4310	state	3.79	-19.68	12	0.00	0.00		0		squad-397	0	bot-1931	bot-1876	9.38	y	0	16	101	0	16	101	sniper
1695899	bot-1931	bravo	F10r-3310	ammo	3.79	-19.68	12	0.02	0.00		1	muzzleRecovery	squad-397	0	bot-1931	bot-1876	9.38	y	0	15	101	0	15	101	sniper
1695991	bot-1861	alpha	S33m-43E0	score	-13.47	9.67	298	5.78	0.58	3.89	1	grenade	squad-383	4	bot-1897	bot-1931	33.79	f	0	20	66	0	5	35	medic
1695991	bot-1866	alpha	S00r-R420	state+latches	-4.82	12.15	323	5.84	0.88	3.24	1	grenade	squad-383	5	bot-1897	bot-1931	32.71	f	0	0	27	0	6	30	sniper
1695991	bot-1873	bravo	S49rm3310	state	24.22	11.46	255	0.00	0.00	0.29	1	grenade	squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1695991	bot-1873	bravo	P49rm3310	state	24.22	11.46	255	0.00	0.00	0.29	1	grenade	squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1695991	bot-1897	alpha	A00r-442G	latches	-20.68	9.60	217	5.94	1.56	2.08	1	grenade	squad-383	0	bot-1897	bot-1931	37.97	w	0	24	120	0	24	120	technical
1695991	bot-1913	alpha	S00r-3410	state+latches	7.68	-0.70	156	0.00	0.00		0		squad-383	3	bot-1897	bot-1931	19.37	w	0	20	120	0	20	101	rifleman
1695991	bot-1929	bravo	P49rm4320	state	19.12	14.93	283	1.32	0.00		1	muzzleRecovery	squad-2	1	bot-1873	bot-1921	25.57	y	0	27	120	0	20	101	rifleman
1695991	bot-1931	bravo	P10r-3310	state	3.79	-19.68	12	2.40	0.00		1	muzzleRecovery	squad-397	0	bot-1931	bot-1876	9.38	y	0	15	101	0	15	101	sniper
1696083	bot-1859	alpha	S00r-4410	tick	-9.31	1.48	211	2.31	3.86	5.51	1	grenade	squad-383	1	bot-1897	bot-1931	25.28	w	0	30	49	0	20	101	rifleman
1696083	bot-1873	bravo	S49rm3310	state	24.22	11.46	262	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1696083	bot-1873	bravo	P49rm3310	state	24.22	11.46	262	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1696083	bot-1887	alpha	S00r-4420	tick	-24.87	-9.33	329	0.10	0.74	3.61	1	seek	squad-372	4	bot-1765			-	0	1	29	0	16	101	sniper
1696083	bot-1901	bravo	S49rm4320	latches	21.75	5.88	257	0.00	0.00		0		squad-2	2	bot-1873			-	2	1	27	0	16	101	sniper
1696083	bot-1912	bravo	S49mb4324	state+latches	20.35	6.19	242	0.00	0.00		0		squad-2	3	bot-1873			-	2	20	83	0	7	35	medic
1696083	bot-1913	alpha	S33r-3410	tier+score	7.48	-1.35	182	6.79	0.68	18.17	3	seek	squad-383	3	bot-1897	bot-1931	19.16	w	0	20	120	0	20	101	rifleman
1696083	bot-1924	bravo	H49mm4220	state	23.72	11.12	351	0.00	0.00		0		squad-2	4	bot-1873	bot-1923	28.76	w	2	20	101	0	7	35	medic
1696152	bot-1823	alpha	S32r-3320	tier+score	10.23	2.02	202	7.03	2.15	25.78	4	seek	squad-372	1	bot-1765	bot-1931	23.21	w	0	17	120	0	17	120	technical
1696152	bot-1855	alpha	F33r-4320	state+tier+score	7.44	0.85	190	0.02	0.76		0		squad-1	5	bot-1747	bot-1931	20.97	y	0	1	26	0	9	101	sniper
1696152	bot-1855	alpha	P33r-0320	state+ammo	7.44	0.85	190	0.00	0.00		0		squad-1	5	bot-1747		20.97	y	0	0	26	0	9	101	sniper
1696152	bot-1931	bravo	D00r--000	state+tier+ammo+health+packs	3.77	-19.90	38	0.00	0.22		1	muzzleRecovery	squad-397	0	bot-1931	bot-1876	9.50	y	0	15	101	0	15	101	sniper
1696152	bot-1855	alpha	P33r-R320	ammo	7.44	0.85	190	0.00	0.00		0		squad-1	5	bot-1747		21.07	y	0	0	26	0	9	101	sniper
1696152	bot-1873	bravo	S49rm3310	state	24.22	11.46	269	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1696152	bot-1873	bravo	P49rm3310	state	24.22	11.46	269	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1696152	bot-1876	alpha	H32r-4120	state	5.72	-10.50	3	0.74	0.01		0		squad-1	2	bot-1747			-	0	1	1	0	25	120	technical
1696152	bot-1897	alpha	S00r-4420	state+latches	-20.97	9.61	230	5.86	0.29		0		squad-383	0	bot-1897		38.27	w	0	24	120	0	24	120	technical
1696152	bot-1904	alpha	S32m-33B0	tier+score	-12.32	9.80	333	5.65	1.09	4.16	1	grenade	squad-383	6	bot-1897			-	0	11	101	0	7	35	medic
1696152	bot-1912	bravo	S49mm4324	element	20.35	6.19	255	0.00	0.00		0		squad-2	3	bot-1873			-	2	20	83	0	7	35	medic
1696152	bot-1917	alpha	S00m-2420	state	-5.60	1.40	198	4.93	3.35		0		squad-1	8	bot-1747		23.41	y	0	10	101	0	7	35	medic
1696152	bot-1923	alpha	S00r-4310	state	-3.96	4.34	187	5.21	1.02		0		squad-395	0	bot-1923		25.59	y	0	30	120	0	30	120	technical
1696238	bot-1857	alpha	D00r--000	tick	-13.84	18.80	189	0.00	0.00	40.50	0		squad-383	-1	bot-1897			-	0	26	120	0	26	120	technical
1696238	bot-1747	alpha	P00r-3420	state	24.45	-23.88	282	0.00	0.02		0		squad-1	0	bot-1747		21.05	y	0	19	79	0	19	79	technical
1696238	bot-1855	alpha	S33r-R320	state	7.44	0.85	190	0.00	0.00		0		squad-1	5	bot-1747		21.07	y	0	0	26	0	9	101	sniper
1696238	bot-1873	bravo	S49rm3310	state	24.22	11.46	274	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1696238	bot-1873	bravo	P49rm3310	state	24.22	11.46	274	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
1696238	bot-1897	alpha	S00r-0420	ammo	-22.30	9.82	256	0.34	1.34	2.45	1	grenade	squad-383	0	bot-1897			-	0	0	4	0	24	120	technical
1696238	bot-1904	alpha	S33m-33B0	score	-12.52	10.00	320	5.76	0.29	3.87	1	grenade	squad-383	6	bot-1897			-	0	11	101	0	7	35	medic
1696238	bot-1917	alpha	S32m-2420	tier+score	-5.22	1.02	172	5.37	0.53	5.13	1	grenade	squad-1	8	bot-1747			-	0	10	101	0	7	35	medic
1696238	bot-1923	alpha	S00r-0310	ammo	-3.60	3.95	162	4.91	0.53	5.34	1	grenade	squad-395	0	bot-1923			-	0	0	4	0	30	120	technical
1696238	bot-1932	bravo	P00r-0410	initial	-21.75	0.25	0	0.00			0			-1				-	0			0			technical
1696324	bot-1765	alpha	C00r-2320	state	-23.85	-6.25	312	2.13	0.50	30.76	5	patrolReentry	squad-372	0	bot-1765			-	0	15	78	0	20	101	rifleman
1696324	bot-1823	alpha	A33r-3320	state+score	10.17	1.90	207	2.61	0.14	25.58	4	seek	squad-372	1	bot-1765			-	0	17	120	0	17	120	technical
1696324	bot-1848	alpha	S32r-4320	tick	5.77	-6.89	12	2.40	1.99	26.71	5	seek	squad-1	1	bot-1747			-	0	27	99	0	7	35	rifleman
1696324	bot-1855	alpha	A33r-R320	state	7.37	0.53	192	6.55	0.33	24.07	3	seek	squad-1	5	bot-1747			-	0	0	26	0	9	101	sniper
1696324	bot-1873	bravo	S49rm3310	state	24.22	11.46	281	0.00	0.00		0		squad-2	0	bot-1873			-	2	18	120	0	20	101	rifleman
