t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id
34449	bot-15	alpha	C33r-4412	score	-5.43	9.69	8	4.65	0.53	2.91	1	cover	squad-3	1	bot-13	bot-23
34449	bot-18	alpha	E33r-4129	score+health	-2.12	14.79	49	2.34	0.16	6.77	2	flee	squad-3	2	bot-13	bot-23
34449	bot-22	alpha	C33r-4312	latches	-2.94	10.23	83	1.26	0.06	1.64	2	cover	squad-3	3	bot-13	bot-21
34449	bot-23	bravo	E45rm4411	latches	-0.44	16.33	229	4.73	0.34	3.34	2	flee	squad-4	2	bot-19	bot-18
34533	bot-19	bravo	P45mb3324	state+latches	2.19	17.97	231	3.74	1.34	3.36	1	muzzleRecovery	squad-4	0	bot-19	bot-18
34533	bot-22	alpha	C44rm4312	tier+score+element	-2.84	10.15	104	1.73	0.13	1.51	2	cover	squad-3	3	bot-13	bot-21
34533	bot-24	alpha	S44rm4410	state+tier+score+element	-12.73	14.13	63	0.00	0.00		0		squad-3	4	bot-13	bot-19
34533	bot-26	alpha	S44rm3410	state+tier+score+element	-11.32	12.61	97	0.00	0.00		0		squad-3	6	bot-13	bot-19
34572	bot-13	alpha	G44rb3412	tier+score+element+latches	-4.95	12.55	81	0.01	0.01		0		squad-3	0	bot-13	bot-23
34572	bot-15	alpha	C44rm4412	tier+score+element	-5.53	10.23	39	4.63	0.55	2.35	1	cover	squad-3	1	bot-13	bot-23
34572	bot-18	alpha	E44rb4029	tier+score+element+health	-2.23	14.51	44	2.39	0.30	6.49	2	flee	squad-3	2	bot-13	bot-23
34604	bot-15	alpha	C44rm441I	latches	-5.56	10.38	31	4.56	0.15	2.21	1	cover	squad-3	1	bot-13	bot-23
34657	bot-13	alpha	S44rb3414	state+latches	-4.95	12.55	83	0.00	0.00		0		squad-3	0	bot-13	bot-23
34657	bot-19	bravo	A45mb3320	state+latches	1.81	18.02	257	0.00	0.39	3.74	0	muzzleRecovery	squad-4	0	bot-19	bot-18
34657	bot-21	bravo	P45rb4424	state+latches	1.02	20.11	210	4.67	2.76		0		squad-4	1	bot-19	
34657	bot-18	alpha	D00r--000	state+tier+score+element+ammo+packs+latches	-2.38	14.30	42	0.00	0.26	6.24	2	flee	squad-3	2	bot-13	bot-23
34657	bot-22	alpha	C46rm4312	score	-2.68	10.02	124	1.40	0.20	1.32	2	cover	squad-3	3	bot-13	bot-21
34657	bot-23	bravo	S45rm4410	state+latches	0.00	16.93	223	4.77	0.75		0		squad-4	2	bot-19	
34657	bot-24	alpha	S46rm4410	score	-12.58	14.08	68	1.15	0.16	14.22	5	seek	squad-3	4	bot-13	bot-19
34657	bot-26	alpha	S46rm3410	score	-11.11	12.63	68	1.38	0.21	13.12	4	seek	squad-3	6	bot-13	bot-19
34722	bot-13	alpha	S46rm3414	score+element	-4.95	12.55	93	0.00	0.00		0		squad-3	0	bot-13	bot-23
34722	bot-15	alpha	C46rm441I	score	-5.14	10.36	56	4.22	0.42	9.57	3	cover	squad-3	1	bot-13	bot-23
34722	bot-19	bravo	S45mm3324	state+element+latches	1.81	18.03	244	0.10	0.00		0		squad-4	0	bot-19	
34722	bot-21	bravo	C45rm4420	state+element+latches	1.20	20.26	210	4.67	0.23		0		squad-4	1	bot-19	
34722	bot-22	alpha	C46rb4312	element	-2.62	9.97	123	1.53	0.08	1.25	2	cover	squad-3	2	bot-13	bot-21
34758	bot-21	bravo	S45rb4424	state+element+latches	1.39	20.22	197	3.75	0.20	6.96	4	cover	squad-4	1	bot-19	
34796	bot-21	bravo	S45rm4424	element	1.39	20.22	205	0.00	0.00		0		squad-4	1	bot-19	bot-13
34848	bot-15	alpha	C46rm4412	latches	-4.66	10.34	62	3.77	0.48	9.12	3	cover	squad-3	1	bot-13	bot-23
34892	bot-15	alpha	C46rm441I	latches	-4.50	10.33	74	3.43	0.16	8.97	3	cover	squad-3	1	bot-13	bot-23
35045	bot-20	alpha	S00m-2320	state	-8.22	1.32	15	0.00	0.02		0		squad-3	4	bot-13	bot-19
35120	bot-15	alpha	C46rm4412	latches	-3.72	10.31	92	3.05	0.78	8.24	3	cover	squad-3	1	bot-13	bot-23
35120	bot-22	alpha	G46rb4312	state	-1.89	9.63	100	3.41	0.81	0.44	1	cover	squad-3	2	bot-13	bot-21
35177	bot-13	alpha	S46rm3410	latches	-4.95	12.55	90	0.00	0.00		0		squad-3	0	bot-13	bot-23
35177	bot-19	bravo	S45mm3320	latches	1.74	18.03	190	1.33	0.07	16.63	4	seek	squad-4	0	bot-19	bot-13
35291	bot-21	bravo	S45rm4420	latches	1.36	20.20	232	1.12	0.04	21.75	3	seek	squad-4	1	bot-19	bot-13
35449	bot-23	bravo	C45rm4410	state	-1.14	15.85	219	2.20	1.57	19.19	4	seek	squad-4	2	bot-19	bot-13
35488	bot-23	bravo	C45rm4412	latches	-1.01	16.05	203	3.98	0.24	7.13	5	cover	squad-4	2	bot-19	bot-13
35604	bot-13	alpha	C46rb3410	state+element	-4.35	12.00	75	1.82	0.81	7.68	3	seek	squad-3	0	bot-13	bot-23
35642	bot-13	alpha	C46rb341I	latches	-4.36	12.27	59	4.39	0.27	9.29	2	cover	squad-3	0	bot-13	bot-23
35642	bot-23	bravo	C45rm441I	latches	-0.51	16.50	185	4.60	0.68	6.71	5	cover	squad-4	2	bot-19	bot-13
35688	bot-24	alpha	S46rm4410	tick	-10.30	13.05	59	2.06	2.50	12.65	5	seek	squad-3	3	bot-13	bot-19
35688	bot-26	alpha	S46rm3410	tick	-8.47	12.80	64	3.12	2.64	10.64	4	seek	squad-3	5	bot-13	bot-19
35765	bot-19	bravo	S44mm3320	score	0.85	17.48	208	2.08	1.04	15.73	3	seek	squad-4	0	bot-19	bot-13
35765	bot-21	bravo	S44rm4420	score	0.95	19.54	198	2.06	0.78	20.99	3	seek	squad-4	1	bot-19	bot-13
35765	bot-23	bravo	C44rm441I	score	-0.06	16.87	153	5.06	0.58	6.37	5	cover	squad-4	2	bot-19	bot-13
35862	bot-13	alpha	C46rb3412	latches	-4.39	12.90	2	1.94	0.63	8.66	2	cover	squad-3	0	bot-13	bot-23
35862	bot-23	bravo	C44rm4412	latches	0.20	17.24	128	4.77	0.45	6.24	5	cover	squad-4	2	bot-19	bot-13
35902	bot-19	bravo	C44mb3320	state+element	0.79	17.30	208	2.01	0.19	15.54	3	seek	squad-4	0	bot-19	bot-13
35937	bot-19	bravo	C33m-3322	tier+score+element+latches	1.07	17.51	227	4.71	0.35	4.51	2	cover	squad-4	0	bot-19	bot-13
35937	bot-21	bravo	S33r-4420	tier+score+element	0.77	19.25	198	2.03	0.35	20.66	3	seek	squad-4	1	bot-19	bot-13
35937	bot-23	bravo	S33r-4410	state+tier+score+element+latches	0.29	17.41	118	4.97	0.19	6.22	5	cover	squad-4	2	bot-19	bot-13
35971	bot-20	alpha	S46mm2320	tier+score+element	-6.98	3.14	42	2.17	2.20	10.58	2	seek	squad-3	4	bot-13	bot-19
36024	bot-13	alpha	C46rb341I	latches	-4.40	13.26	21	2.15	0.36	8.30	2	cover	squad-3	0	bot-13	bot-19
36024	bot-19	bravo	C33m-332I	latches	1.26	17.81	226	4.41	0.36	4.30	1	cover	squad-4	0	bot-19	bot-13
36076	bot-13	alpha	C46rb3412	latches	-4.40	13.37	17	2.09	0.11	8.19	2	cover	squad-3	0	bot-13	bot-19
36076	bot-19	bravo	C33m-3322	latches	1.48	17.83	223	4.36	0.22	4.07	1	cover	squad-4	0	bot-19	bot-13
36128	bot-15	alpha	C46rm4412	tick	-2.18	10.35	69	0.64	1.54	6.79	3	cover	squad-3	1	bot-13	bot-23
36128	bot-19	bravo	C32m-3322	score	1.70	17.84	233	4.30	0.22	3.85	1	cover	squad-4	0	bot-19	bot-13
36128	bot-21	bravo	S32r-4420	score	0.53	18.96	197	2.05	0.37	20.31	3	seek	squad-4	1	bot-19	bot-13
36128	bot-22	alpha	G46rb4312	tick	-1.45	9.55	357	0.00	0.44		0		squad-3	2	bot-13	bot-21
36128	bot-23	bravo	S32r-4410	score	-0.06	17.08	176	2.07	0.48	9.56	1	seek	squad-4	2	bot-19	bot-13
36256	bot-23	bravo	C32r-4410	state	-0.18	16.96	202	1.99	0.17	9.39	1	seek	squad-4	2	bot-19	bot-13
36294	bot-13	alpha	A46rb3410	state+latches	-4.41	13.66	57	1.82	0.29	7.90	2	cover	squad-3	0	bot-13	bot-19
36294	bot-23	bravo	C32r-4412	latches	-0.38	16.82	218	3.98	0.24	1.31	1	cover	squad-4	2	bot-19	bot-13
36371	bot-19	bravo	C32m-332I	latches	2.83	17.90	234	4.65	1.13	2.72	1	cover	squad-4	0	bot-19	bot-13
36406	bot-13	alpha	C46rb3410	state	-4.41	13.66	59	0.00	0.00		0		squad-3	0	bot-13	bot-19
36438	bot-13	alpha	C46rb341I	latches	-4.36	13.57	66	1.62	0.11	9.11	2	cover	squad-3	0	bot-13	bot-19
36513	bot-23	bravo	G32r-4412	state	-1.11	16.31	232	4.71	0.88	0.43	1	cover	squad-4	2	bot-19	bot-13
36616	bot-19	bravo	C32m-3322	latches	3.96	17.98	171	4.58	1.13	1.59	1	cover	squad-4	0	bot-19	bot-13
36655	bot-19	bravo	S32m-3320	state+latches	3.96	17.98	171	4.58	0.00	1.59	1	cover	squad-4	0	bot-19	bot-13
36691	bot-13	alpha	C46rb3412	latches	-4.06	12.92	122	4.93	0.72	8.60	2	cover	squad-3	0	bot-13	bot-19
36691	bot-24	alpha	S46rm4410	tick	-7.62	12.79	51	2.07	2.69	10.60	4	seek	squad-3	3	bot-13	bot-19
36691	bot-26	alpha	S46rm3410	tick	-6.29	12.97	58	1.98	2.19	8.66	3	seek	squad-3	5	bot-13	bot-19
36821	bot-21	bravo	C32r-4420	state	-0.18	17.82	210	1.91	1.35	19.01	3	seek	squad-4	1	bot-19	bot-13
36854	bot-21	bravo	C32r-4422	latches	-0.10	18.07	212	4.71	0.27	3.66	1	cover	squad-4	1	bot-19	bot-13
36907	bot-23	bravo	S32r-4410	state+latches	-1.45	16.05	249	0.00	0.43		0		squad-4	2	bot-19	bot-13
36939	bot-27	bravo	P00m-0420	initial	0.05	22.05	0	0.00			0			-1		
36939	bot-28	alpha	P00m-0420	initial	-4.45	16.55	0	0.00			0			-1		
36957	bot-19	bravo	A32m-3320	state	3.23	18.01	255	2.01	0.73	6.96	4	seek	squad-4	0	bot-19	bot-13
36957	bot-27	bravo	S32m-4420	state+tier+score+ammo	0.05	22.05	0	0.00	0.00		0		squad-4	3	bot-19	
36957	bot-28	alpha	S46mm4420	state+tier+score+element+ammo	-4.45	16.55	0	0.00	0.00		0		squad-3	6	bot-13	
37011	bot-20	alpha	S46mm2320	tick	-5.82	4.89	36	2.23	2.10	8.51	2	seek	squad-3	4	bot-13	bot-19
37011	bot-23	bravo	E32r-4410	state	-1.50	15.99	235	1.11	0.08	7.42	2	seek	squad-4	2	bot-19	bot-13
