t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
110999	bot-21	alpha	A00r-432G	latches	9.39	0.66	246	0.00	0.00		0		squad-1	1	bot-19	bot-16	13.05	w
111032	bot-32	alpha	S33r-2410	tick	0.78	-30.42	45	0.00	0.00		0		squad-7	1	bot-26	bot-16	28.85	w
111115	bot-30	alpha	M33m-3420	tick	-7.59	-28.76	234	4.33	5.24	1.84	2	medic	squad-7	4	bot-26	bot-16	27.15	w
111149	bot-20	bravo	P00r-2310	tick	23.36	13.54	11	2.40	0.63	2.10	1	squad	squad-2	1	bot-18			-
111182	bot-19	alpha	G00r-3322	tick	16.75	1.75	279	0.00	0.44		0		squad-1	0	bot-19	bot-16	20.36	w
111249	bot-16	bravo	E35m-4020	latches	-2.94	-2.72	5	0.00	0.00		0		squad-2	2	bot-18	bot-21	13.04	w
111249	bot-18	bravo	P00r-4410	tick	22.57	12.41	118	2.31	2.08		1	patrolLocal	squad-2	0	bot-18			-
111249	bot-21	alpha	S00r-4320	state+latches	9.39	0.66	246	0.00	0.00		0		squad-1	1	bot-19	bot-16	13.04	w
111249	bot-41	alpha	S33m-4420	tick	-13.71	-23.67	41	2.41	1.92	47.42	12	seek	squad-7	5	bot-26	bot-18	51.25	r
111299	bot-16	bravo	H35m-4020	state	-2.94	-2.72	5	0.00	0.00		0		squad-2	2	bot-18	bot-21	13.00	w
111399	bot-30	alpha	T33m-3420	state	-8.11	-29.67	200	4.14	1.04	0.80	1	medic	squad-7	4	bot-26	bot-16	28.11	w
111499	bot-21	alpha	A00r-4320	state	9.04	0.67	250	2.40	0.35	10.33	4	seek	squad-1	1	bot-19	bot-16	12.75	w
111533	bot-2	bravo	D00r--000	tick	0.54	4.99	216	0.00	0.00		0		squad-2	-1	bot-18	bot-3	30.50	w
111549	bot-26	alpha	H33r-4110	ammo	-8.34	-30.43	77	0.00	0.00		0		squad-7	0	bot-26	bot-18	53.03	r
111583	bot-26	alpha	H33r-4210	health	-8.34	-30.43	74	0.00	0.00		0		squad-7	0	bot-26	bot-18	53.05	r
111666	bot-35	alpha	S33r-4410	tick	-3.69	-28.43	292	2.42	2.49	32.56	9	seek	squad-7	2	bot-26	bot-16	26.50	w
111717	bot-16	bravo	H35m-4120	health	-2.94	-2.72	70	0.00	0.00		0		squad-2	2	bot-18	bot-21	12.71	y
111800	bot-37	alpha	S00r-3320	tick	-14.10	-12.45	51	2.40	2.37	40.22	9	seek	squad-7	3	bot-26	bot-18	45.40	w
