t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
215163	bot-268	alpha	G00m-4322	tick	-19.74	-14.50	201	0.00	0.64		0		squad-101	1	bot-267
215246	bot-236	bravo	S00r-4410	tick	-17.04	-19.64	359	0.21	0.41	1.57	1	seek	squad-27	1	bot-234
215263	bot-164	bravo	D00r--000	tick	-19.85	-22.73	349	0.00	0.00	4.72	0		squad-27	-1	bot-234
215263	bot-244	bravo	S00r-4410	tick	-18.57	-19.40	33	0.39	0.57	1.13	1	seek	squad-27	3	bot-234
215430	bot-266	bravo	A00m-3320	state	-3.09	3.41	108	1.22	0.35	3.74	2	seek	squad-97	0	bot-266
215447	bot-261	alpha	A00r-4320	state	16.93	-10.66	306	2.33	0.69	26.94	5	seek	squad-26	3	bot-196
215464	bot-266	bravo	A00m-332G	latches	-3.09	3.41	115	0.00	0.00		0		squad-97	0	bot-266
215481	bot-261	alpha	A00r-432G	latches	16.93	-10.66	305	0.01	0.00		0		squad-26	3	bot-196
215497	bot-234	bravo	S00r-4410	tick	-18.29	-18.77	188	0.16	0.51	1.19	1	seek	squad-27	0	bot-234
215497	bot-267	alpha	S00r-4410	tick	-16.47	-3.14	6	2.52	2.36	16.93	4	seek	squad-101	0	bot-267
215581	bot-252	alpha	S00r-3310	tick	0.06	3.70	273	0.19	0.05	6.52	2	seek	squad-26	2	bot-196
215698	bot-266	bravo	S00m-3320	state+latches	-3.09	3.41	115	0.00	0.00		0		squad-97	0	bot-266
215715	bot-261	alpha	S00r-4320	state+latches	16.94	-10.66	305	0.00	0.00		0		squad-26	3	bot-196
215731	bot-240	bravo	K00m-04C0	tick	16.28	-9.70	146	0.00	0.06		0		squad-27	4	bot-234
215849	bot-237	alpha	C00r-3412	tick	0.38	2.54	302	0.00	0.01		0		squad-26	5	bot-196
215849	bot-238	bravo	S00r-4420	tick	-15.61	-18.75	312	0.29	0.28	0.45	1	seek	squad-27	2	bot-234
215849	bot-250	alpha	C00r-2322	tick	0.01	1.77	312	0.00	0.00		0		squad-26	1	bot-196
215915	bot-247	bravo	C00m-4322	tick	-17.69	-19.92	327	0.00	0.00		0		squad-27	5	bot-234
215949	bot-264	alpha	S00r-4410	tick	6.79	9.32	262	0.14	0.01	26.02	9	seek	squad-26	4	bot-196
215965	bot-266	bravo	C00m-3320	state	-2.73	3.25	113	2.45	0.39	24.06	4	seek	squad-97	0	bot-266
215982	bot-266	bravo	C00m-3322	latches	-2.87	3.30	105	4.34	0.14	2.21	1	cover	squad-97	0	bot-266
216016	bot-261	alpha	A00r-4320	state	16.62	-10.33	305	2.33	0.46	23.99	4	seek	squad-26	3	bot-196
216032	bot-261	alpha	A00r-432G	latches	16.62	-10.32	305	0.16	0.00		0		squad-26	3	bot-196
216067	bot-196	alpha	S00m-3320	tick	5.26	6.36	59	1.36	1.58	0.35	1	seek	squad-26	0	bot-196
216100	bot-237	alpha	C00r-341I	latches	0.38	2.54	284	0.00	0.00		0		squad-26	5	bot-196
216100	bot-266	bravo	C00m-332I	latches	-3.38	3.48	100	4.87	0.54	1.67	1	cover	squad-97	0	bot-266
216117	bot-269	bravo	G00r-4312	tick	-21.45	7.55	151	0.00	0.44		0		squad-97	1	bot-266
216151	bot-247	bravo	S00m-4320	state+latches	-17.69	-19.92	327	0.00	0.00		0		squad-27	5	bot-234
216167	bot-268	alpha	G00m-4322	tick	-18.95	-13.95	130	0.00	0.96		0		squad-101	1	bot-267
216250	bot-236	bravo	S00r-4410	tick	-17.13	-19.61	297	0.31	0.10	1.47	1	seek	squad-27	1	bot-234
216267	bot-164	bravo	D00r--000	tick	-19.85	-22.73	349	0.00	0.00	4.72	0		squad-27	-1	bot-234
216267	bot-244	bravo	S00r-4410	tick	-18.61	-19.29	38	0.49	0.12	1.07	1	seek	squad-27	3	bot-234
216267	bot-261	alpha	S00r-4320	state+latches	16.62	-10.32	305	0.00	0.00		0		squad-26	3	bot-196
216334	bot-237	alpha	C00r-3412	latches	0.38	2.54	284	0.00	0.00		0		squad-26	5	bot-196
216334	bot-266	bravo	C00m-3322	latches	-4.45	3.86	39	4.86	1.13	0.54	1	cover	squad-97	0	bot-266
216334	bot-269	bravo	C00r-4312	state	-21.59	6.99	135	0.00	0.58		0		squad-97	1	bot-266
216384	bot-266	bravo	G00m-3322	state	-4.59	3.92	31	4.74	0.16	0.38	1	cover	squad-97	0	bot-266
216401	bot-267	alpha	C00r-4410	state	-15.77	-1.64	56	1.90	1.65	15.49	3	seek	squad-101	0	bot-267
216420	bot-267	alpha	C00r-441I	latches	-15.84	-1.76	65	3.50	0.13	7.76	3	cover	squad-101	0	bot-267
216420	bot-269	bravo	G00r-4312	state	-21.56	7.12	118	1.64	0.14	0.44	1	cover	squad-97	1	bot-266
216501	bot-234	bravo	S00r-4410	tick	-18.33	-18.67	189	0.33	0.11	1.29	1	seek	squad-27	0	bot-234
216551	bot-266	bravo	S00m-3320	state+latches	-4.95	4.05	65	0.00	0.38		0		squad-97	0	bot-266
216584	bot-252	alpha	S00r-3310	tick	0.06	3.70	270	0.16	0.00	6.52	2	seek	squad-26	2	bot-196
216601	bot-261	alpha	A00r-4320	state	16.22	-10.04	294	1.93	0.49	23.50	4	seek	squad-26	3	bot-196
216618	bot-261	alpha	A00r-432G	latches	16.22	-10.04	297	0.00	0.00		0		squad-26	3	bot-196
216654	bot-267	alpha	C00r-4412	latches	-16.14	-2.63	126	4.21	0.93	7.08	3	cover	squad-101	0	bot-267
216739	bot-240	bravo	K00m-04C0	tick	16.10	-9.06	173	3.91	0.67	0.45	1	knife	squad-27	4	bot-234
216852	bot-238	bravo	S00r-4420	tick	-15.64	-18.71	310	0.01	0.05	0.40	1	seek	squad-27	2	bot-234
216852	bot-250	alpha	C00r-2322	tick	0.02	1.76	312	0.00	0.01		0		squad-26	1	bot-196
216852	bot-261	alpha	S00r-4320	state+latches	16.22	-10.04	297	0.00	0.01		0		squad-26	3	bot-196
216952	bot-264	alpha	S00r-4410	tick	6.82	9.33	308	0.50	0.03	26.04	10	seek	squad-26	4	bot-196
217070	bot-196	alpha	S00m-3320	tick	6.88	5.95	82	1.99	1.67	0.68	1	seek	squad-26	0	bot-196
217103	bot-266	bravo	A00m-3320	state	-4.14	3.76	105	1.71	0.86	4.84	2	seek	squad-97	0	bot-266
217120	bot-261	alpha	A00r-4320	state	15.97	-9.87	304	1.88	0.30	25.13	4	seek	squad-26	3	bot-196
217136	bot-261	alpha	F00r-4320	state	15.97	-9.87	304	0.00	0.00		0		squad-26	3	bot-196
217136	bot-266	bravo	A10m-3320	tier	-4.14	3.76	115	0.00	0.00		0		squad-97	0	bot-266
217153	bot-247	bravo	S00m-4320	tick	-18.51	-19.88	2	0.54	0.82	1.44	1	seek	squad-27	5	bot-234
217153	bot-261	alpha	A00r-4320	state	15.97	-9.87	304	0.00	0.00		0		squad-26	3	bot-196
217170	bot-261	alpha	A00r-432G	latches	15.97	-9.87	304	0.00	0.00		0		squad-26	3	bot-196
217170	bot-266	bravo	A10m-332G	latches	-4.14	3.76	118	0.00	0.00		0		squad-97	0	bot-266
217170	bot-268	alpha	G00m-4322	tick	-19.13	-14.07	188	0.00	0.21		0		squad-101	1	bot-267
217237	bot-269	bravo	S00r-4310	state+latches	-21.45	7.55	167	0.00	0.44		0		squad-97	1	bot-266
217254	bot-236	bravo	S00r-4410	tick	-17.28	-19.71	343	0.32	0.17	1.40	1	seek	squad-27	1	bot-234
217271	bot-164	bravo	D00r--000	tick	-19.85	-22.73	349	0.00	0.00	4.72	0		squad-27	-1	bot-234
217271	bot-244	bravo	S00r-4410	tick	-18.72	-19.33	41	0.17	0.12	1.17	1	seek	squad-27	3	bot-234
217304	bot-196	alpha	P00m-3320	state	7.23	5.94	69	0.00	0.35		0		squad-26	0	bot-196
217337	bot-237	alpha	C00r-3412	tick	0.39	2.53	284	0.00	0.01		0		squad-26	5	bot-196
